Gene_1	Gene_2
PPIB	FBXO6
FBLN1	FBXO6
TCP1	FBXO6
CAPZA1	FBXO6
CTPS1	FBXO6
RPL4	FBXO6
RPA1	FBXO6
NDUFA9	FBXO6
VIM	FBXO6
PCNA	FBXO6
NPC1	FBXO6
ENTPD2	FBXO6
YWHAQ	FBXO6
CKAP5	FBXO6
KPNB1	FBXO6
BUB1B	FBXO6
RBBP4	FBXO6
LAMP3	FBXO6
AMOT	FBXO6
SPCS2	FBXO6
AHSA1	FBXO6
EGFR	FBXO6
HSPA8	FBXO6
ARF4	FBXO6
ILK	FBXO6
AUP1	FBXO6
EEF1G	FBXO6
PLK1	FBXO6
TUBB	FBXO6
HNRNPH2	FBXO6
GAPDH	FBXO6
MAD2L1	FBXO6
H1-3	FBXO6
STT3B	FBXO6
RPS3	FBXO6
ABCE1	FBXO6
CRYAB	FBXO6
TMCO1	FBXO6
QSOX1	FBXO6
EPRS1	FBXO6
FAF2	FBXO6
TTC17	FBXO6
YBX1	FBXO6
PLOD3	FBXO6
TUBA1B	FBXO6
GEMIN5	FBXO6
SLC3A2	FBXO6
EMC2	FBXO6
TUBA1A	FBXO6
EMD	FBXO6
STT3A	FBXO6
TUBA1C	FBXO6
IPO7	FBXO6
UQCRC2	FBXO6
DDX5	FBXO6
SDF2L1	FBXO6
EEF1A1	FBXO6
PRPF8	FBXO6
SNRNP200	FBXO6
OLFM2	FBXO6
PCYOX1	FBXO6
HEXB	FBXO6
DHX9	FBXO6
COPA	FBXO6
CCT3	FBXO6
HADHB	FBXO6
TRIM21	FBXO6
POMGNT2	FBXO6
RPS20	FBXO6
LAMC1	FBXO6
RNASET2	FBXO6
IGF2R	FBXO6
EIF3A	FBXO6
SMCHD1	FBXO6
RHOG	FBXO6
AFG3L2	FBXO6
A2M	FBXO6
RPS10	FBXO6
DNAJB11	FBXO6
PTPMT1	FBXO6
PRPS1	FBXO6
IVNS1ABP	FBXO6
PTGFRN	FBXO6
GART	FBXO6
PPA1	FBXO6
TMEM126A	FBXO6
TUBB3	FBXO6
PSMD3	FBXO6
NUDT9	FBXO6
DNM2	FBXO6
POGLUT1	FBXO6
ATP6V1A	FBXO6
PSMD7	FBXO6
COPS6	FBXO6
CDK1	FBXO6
NOMO1	FBXO6
CSPG4	FBXO6
CTBS	FBXO6
ERLIN1	FBXO6
EIF3F	FBXO6
LOXL2	FBXO6
ABCA2	FBXO6
LRRC47	FBXO6
VCP	FBXO6
CRTAP	FBXO6
DSC3	FBXO6
GCN1	FBXO6
EIF4A1	FBXO6
SF3B3	FBXO6
PRF1	FBXO6
FSTL1	FBXO6
ARIH1	FBXO6
NDUFS7	FBXO6
DDX39A	FBXO6
FLG2	FBXO6
FASN	FBXO6
DDX17	FBXO6
